
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 116 | (1.3053e-04, 1.3053e-04)
Max no. 117 | (1.2978e-04, 1.2978e-04)
Max no. 118 | (1.2973e-04, 1.2973e-04)
Max no. 119 | (1.2960e-04, 1.2960e-04)
Max no. 120 | (1.2844e-04, 1.2844e-04)
Max no. 121 | (1.2830e-04, 1.2830e-04)
Max no. 122 | (1.2791e-04, 1.2791e-04)
Max no. 123 | (1.2783e-04, 1.2783e-04)
Max no. 124 | (1.2753e-04, 1.2753e-04)
Max no. 125 | (1.2746e-04, 1.2746e-04)
Max no. 126 | (1.2664e-04, 1.2664e-04)
Max no. 127 | (1.2660e-04, 1.2660e-04)
Max no. 128 | (1.2610e-04, 1.2610e-04)
Max no. 129 | (1.2599e-04, 1.2599e-04)
Max no. 130 | (1.2589e-04, 1.2589e-04)
Max no. 131 | (1.2540e-04, 1.2540e-04)
Max no. 132 | (1.2531e-04, 1.2531e-04)
Max no. 133 | (1.2479e-04, 1.2479e-04)
Max no. 134 | (1.2461e-04, 1.2461e-04)
Max no. 135 | (1.2442e-04, 1.2442e-04)
Max no. 136 | (1.2441e-04, 1.2441e-04)
Max no. 137 | (1.2384e-04, 1.2384e-04)
Max no. 138 | (1.2367e-04, 1.2367e-04)
Max no. 139 | (1.2307e-04, 1.2307e-04)
Max no. 140 | (1.2306e-04, 1.2306e-04)
Max no. 141 | (1.2294e-04, 1.2294e-04)
Max no. 142 | (1.2267e-04, 1.2267e-04)
Max no. 143 | (1.2263e-04, 1.2263e-04)
Max no. 144 | (1.2162e-04, 1.2162e-04)
Max no. 145 | (1.2152e-04, 1.2152e-04)
Max no. 146 | (1.2132e-04, 1.2132e-04)
Max no. 147 | (1.2128e-04, 1.2128e-04)
Max no. 148 | (1.2099e-04, 1.2099e-04)
Max no. 149 | (1.2075e-04, 1.2075e-04)
Max no. 150 | (1.2041e-04, 1.2041e-04)
Max no. 151 | (1.1865e-04, 1.1865e-04)
Max no. 152 | (1.1710e-04, 1.1710e-04)
Max no. 153 | (1.1665e-04, 1.1665e-04)
Max no. 154 | (1.1553e-04, 1.1553e-04)
Max no. 155 | (1.1475e-04, 1.1475e-04)
Max no. 156 | (1.1376e-04, 1.1376e-04)
Max no. 157 | (1.1205e-04, 1.1205e-04)
Max no. 158 | (1.1167e-04, 1.1167e-04)
Max no. 159 | (1.1100e-04, 1.1100e-04)
Max no. 160 | (1.1085e-04, 1.1085e-04)
Max no. 161 | (1.1080e-04, 1.1080e-04)
Max no. 162 | (1.1066e-04, 1.1066e-04)
Max no. 163 | (1.1061e-04, 1.1061e-04)
Max no. 164 | (1.1034e-04, 1.1034e-04)
Max no. 165 | (1.0955e-04, 1.0955e-04)
Max no. 166 | (1.0895e-04, 1.0895e-04)
Max no. 167 | (1.0855e-04, 1.0855e-04)
Max no. 168 | (1.0624e-04, 1.0624e-04)
Max no. 169 | (1.0415e-04, 1.0415e-04)
Max no. 170 | (1.0389e-04, 1.0389e-04)
Max no. 171 | (1.0366e-04, 1.0366e-04)
Max no. 172 | (1.0344e-04, 1.0344e-04)
Max no. 173 | (1.0036e-04, 1.0036e-04)
Max no. 174 | (1.0031e-04, 1.0031e-04)
Max no. 175 | (9.4201e-05, 9.4201e-05)
Max no. 176 | (9.3321e-05, 9.3321e-05)
Max no. 177 | (9.3294e-05, 9.3294e-05)
Max no. 178 | (9.2794e-05, 9.2794e-05)
Max no. 179 | (8.6340e-05, 8.6340e-05)
Max no. 180 | (8.2379e-05, 8.2379e-05)
Max no. 181 | (8.1033e-05, 8.1033e-05)
Max no. 182 | (8.0909e-05, 8.0909e-05)
Max no. 183 | (8.0616e-05, 8.0616e-05)
Max no. 184 | (7.9550e-05, 7.9550e-05)
Max no. 185 | (7.3381e-05, 7.3381e-05)
Max no. 186 | (7.2867e-05, 7.2867e-05)
Max no. 187 | (6.4268e-05, 6.4268e-05)
Max no. 188 | (6.4185e-05, 6.4185e-05)
Max no. 189 | (4.9139e-05, 4.9139e-05)
Max no. 190 | (1.8206e-05, 1.8206e-05)
Max no. 191 | (-9.8901e-07, -9.8901e-07)
Max no. 192 | (-2.7268e-05, -2.7268e-05)
Max no. 193 | (-9.2405e-02, -9.2405e-02)
Max no. 194 | (-1.0607e-01, -1.0607e-01)
Max no. 195 | (-1.1091e-01, -1.1091e-01)
Max no. 196 | (-1.2954e-01, -1.2954e-01)
Max no. 197 | (-1.3085e-01, -1.3085e-01)
Max no. 198 | (-2.9477e-01, -2.9477e-01)
Max no. 199 | (-9.6392e-01, -9.6392e-01)
------------------------------------------------------------------------------------------------------------------------------------
